Time,Heart_beat, Speed
1422187620.000000,167,3.008000
1422187624.000000,167,3.083000
1422187628.000000,168,3.048000
1422187634.000000,168,2.838000
1422187641.000000,167,2.902000
1422187646.000000,167,2.954000
1422187650.000000,167,2.891000
1422187656.000000,166,3.024000
1422187662.000000,165,2.913000
1422187667.000000,162,2.736000
1422187668.000000,163,2.712000
1422187675.000000,165,2.779000
1422187679.000000,166,2.801000
1422187685.000000,167,2.694000
1422187689.000000,166,2.551000
1422187694.000000,165,2.487000
1422187696.000000,165,2.427000
1422187698.000000,165,2.401000
1422187703.000000,165,2.425000
1422187709.000000,164,2.596000
1422187713.000000,161,2.442000
1422187714.000000,160,2.292000
1422187716.000000,159,2.127000
1422187719.000000,156,1.715000
1422187720.000000,155,1.601000
1422187722.000000,152,0.338000
1422187724.000000,150,0.268000
1422187727.000000,147,0.234000
1422187729.000000,144,0.218000
1422187732.000000,145,0.715000
1422187735.000000,148,1.325000
1422187738.000000,149,1.974000
1422187743.000000,152,2.861000
1422187746.000000,155,2.842000
1422187748.000000,155,2.754000
1422187752.000000,156,2.951000
1422187756.000000,159,3.168000
1422187760.000000,162,3.406000
1422187761.000000,162,3.433000
1422187765.000000,163,3.215000
1422187772.000000,162,2.999000
1422187776.000000,159,2.961000
1422187777.000000,159,2.841000
1422187782.000000,159,2.642000
1422187787.000000,157,2.375000
1422187793.000000,158,2.438000
1422187797.000000,159,2.680000
1422187802.000000,160,2.926000
1422187807.000000,162,3.015000
1422187813.000000,161,2.806000
1422187820.000000,159,2.391000
1422187826.000000,157,2.433000
1422187832.000000,153,2.507000
1422187834.000000,149,2.498000
1422187837.000000,147,2.432000
1422187842.000000,150,2.325000
1422187843.000000,150,2.302000
1422187845.000000,153,2.243000
1422187846.000000,154,2.267000
1422187848.000000,156,2.286000
1422187850.000000,158,2.361000
1422187853.000000,159,2.470000
1422187854.000000,159,2.461000
1422187859.000000,159,2.513000
1422187863.000000,157,2.197000
1422187864.000000,157,2.118000
1422187868.000000,155,2.199000
1422187874.000000,155,2.507000
1422187878.000000,155,2.773000
1422187882.000000,156,2.691000
1422187888.000000,157,2.722000
1422187893.000000,157,2.808000
1422187899.000000,156,2.770000
1422187906.000000,156,2.638000
1422187911.000000,158,2.628000
1422187915.000000,158,2.639000
1422187917.000000,158,2.576000
1422187923.000000,158,2.336000
1422187924.000000,158,2.306000
1422187927.000000,157,2.301000
1422187928.000000,158,2.290000
1422187929.000000,157,2.269000
1422187932.000000,157,2.267000
1422187937.000000,158,2.397000
1422187940.000000,159,2.469000
1422187941.000000,158,2.559000
1422187949.000000,158,2.753000
1422187954.000000,156,2.792000
1422187960.000000,157,2.923000
1422187966.000000,158,3.020000
1422187971.000000,160,2.912000
1422187972.000000,160,2.869000
1422187978.000000,162,3.004000
1422187981.000000,161,2.894000
1422187982.000000,161,2.852000
1422187988.000000,161,2.606000
1422187996.000000,162,2.535000
1422188002.000000,161,2.468000
1422188009.000000,160,2.536000
1422188016.000000,159,2.621000
1422188023.000000,158,2.300000
1422188030.000000,157,2.403000
1422188032.000000,156,2.536000
1422188035.000000,157,2.604000
1422188039.000000,159,2.662000
1422188041.000000,158,2.729000
1422188047.000000,157,2.679000
1422188052.000000,156,2.763000
1422188058.000000,156,2.772000
1422188063.000000,157,2.871000
1422188067.000000,160,2.987000
1422188068.000000,160,2.995000
1422188073.000000,161,2.991000
1422188079.000000,162,2.994000
1422188085.000000,162,3.007000
1422188091.000000,161,2.844000
1422188097.000000,161,2.806000
1422188103.000000,163,2.668000
1422188104.000000,162,2.639000
1422188107.000000,162,2.623000
1422188111.000000,162,2.666000
1422188113.000000,162,2.665000
1422188121.000000,161,2.506000
1422188125.000000,162,2.507000
1422188127.000000,162,2.569000
1422188133.000000,162,2.752000
1422188139.000000,162,2.614000
1422188146.000000,161,2.433000
1422188152.000000,160,2.458000
1422188156.000000,159,2.467000
1422188157.000000,159,2.470000
1422188159.000000,159,2.473000
1422188161.000000,158,2.500000
1422188166.000000,158,2.585000
1422188167.000000,158,2.571000
1422188171.000000,155,2.502000
1422188172.000000,154,2.478000
1422188179.000000,153,2.363000
1422188180.000000,153,2.380000
1422188183.000000,154,2.460000
1422188184.000000,154,2.489000
1422188190.000000,154,2.491000
1422188192.000000,153,2.445000
1422188194.000000,153,2.327000
1422188197.000000,153,2.233000
1422188199.000000,153,2.167000
1422188202.000000,153,2.129000
1422188204.000000,153,2.165000
1422188209.000000,153,2.223000
1422188211.000000,152,2.266000
1422188214.000000,152,2.247000
1422188220.000000,152,2.315000
1422188221.000000,152,2.347000
1422188224.000000,152,2.448000
1422188226.000000,152,2.458000
1422188231.000000,151,2.406000
1422188232.000000,151,2.378000
1422188238.000000,151,2.341000
1422188242.000000,150,2.165000
1422188243.000000,149,2.139000
1422188248.000000,150,2.243000
1422188254.000000,150,2.546000
1422188262.000000,149,2.551000
1422188268.000000,151,2.522000
1422188275.000000,154,2.713000
1422188279.000000,155,2.741000
1422188284.000000,156,2.813000
1422188289.000000,157,2.790000
1422188294.000000,160,2.878000
1422188301.000000,159,2.637000
1422188304.000000,154,2.510000
1422188306.000000,152,2.438000
1422188307.000000,152,2.417000
1422188313.000000,155,2.317000
1422188317.000000,158,2.379000
1422188319.000000,159,2.411000
1422188325.000000,161,2.439000
1422188330.000000,160,2.478000
1422188335.000000,159,2.598000
1422188340.000000,159,2.750000
1422188346.000000,159,2.870000
1422188351.000000,159,2.693000
1422188353.000000,160,2.664000
1422188355.000000,159,2.651000
1422188358.000000,160,2.663000
1422188360.000000,159,2.706000
1422188361.000000,159,2.716000
1422188362.000000,159,2.756000
1422188364.000000,159,2.703000
1422188366.000000,160,2.803000
1422188368.000000,159,2.832000
1422188371.000000,160,2.841000
1422188374.000000,161,2.745000
1422188375.000000,161,2.745000
1422188380.000000,161,2.583000
1422188386.000000,160,2.751000
1422188389.000000,160,2.709000
1422188390.000000,161,2.721000
1422188393.000000,160,2.830000
1422188394.000000,160,2.872000
1422188400.000000,161,3.057000
1422188403.000000,161,3.186000
1422188404.000000,161,3.160000
1422188406.000000,161,3.071000
1422188408.000000,162,2.936000
1422188413.000000,162,2.857000
1422188419.000000,164,2.833000
1422188424.000000,165,2.804000
1422188427.000000,165,2.760000
1422188429.000000,165,2.777000
1422188433.000000,165,2.736000
1422188438.000000,164,2.594000
1422188439.000000,163,2.512000
1422188442.000000,163,2.428000
1422188445.000000,162,2.365000
1422188446.000000,161,2.325000
1422188448.000000,160,2.184000
1422188451.000000,160,2.323000
1422188456.000000,161,2.410000
1422188458.000000,161,2.547000
1422188461.000000,162,2.670000
1422188467.000000,161,2.636000
1422188471.000000,160,2.441000
1422188472.000000,160,2.376000
1422188477.000000,159,2.366000
1422188480.000000,159,2.302000
1422188482.000000,159,2.301000
1422188486.000000,158,2.312000
1422188487.000000,158,2.332000
1422188490.000000,157,2.376000
1422188491.000000,157,2.420000
1422188498.000000,158,2.754000
1422188504.000000,159,2.900000
1422188511.000000,160,2.914000
1422188516.000000,160,3.060000
1422188520.000000,160,3.056000
1422188525.000000,158,2.976000
1422188527.000000,158,2.719000
1422188529.000000,158,2.683000
1422188535.000000,157,2.402000
1422188541.000000,157,2.299000
1422188547.000000,156,2.342000
1422188553.000000,156,2.239000
1422188558.000000,155,2.190000
1422188562.000000,156,2.207000
1422188563.000000,156,2.280000
1422188568.000000,155,2.583000
1422188571.000000,156,2.808000
1422188574.000000,156,2.859000
1422188581.000000,156,2.776000
1422188586.000000,156,2.764000
1422188587.000000,156,2.738000
1422188593.000000,156,2.652000
1422188599.000000,156,2.621000
1422188605.000000,158,2.700000
1422188611.000000,159,2.766000
1422188617.000000,159,2.886000
1422188623.000000,159,2.803000
1422188630.000000,160,2.538000
1422188635.000000,159,2.506000
1422188639.000000,156,2.393000
1422188641.000000,151,2.414000
1422188642.000000,148,2.359000
1422188646.000000,144,2.311000
1422188649.000000,146,2.301000
1422188651.000000,149,2.430000
1422188653.000000,153,2.447000
1422188654.000000,154,2.465000
1422188656.000000,157,2.566000
1422188659.000000,160,2.614000
1422188664.000000,162,2.688000
1422188666.000000,163,2.668000
1422188668.000000,163,2.677000
1422188670.000000,164,2.698000
1422188674.000000,163,2.621000
1422188679.000000,162,2.797000
1422188685.000000,161,2.682000
1422188691.000000,161,2.518000
1422188697.000000,160,2.560000
1422188703.000000,159,2.662000
1422188709.000000,160,2.679000
1422188715.000000,160,2.659000
1422188721.000000,158,2.682000
1422188726.000000,158,2.640000
1422188732.000000,159,2.620000
1422188738.000000,158,2.657000
1422188740.000000,158,2.668000
1422188744.000000,160,2.753000
1422188749.000000,158,2.724000
1422188754.000000,158,2.677000
1422188756.000000,158,2.651000
1422188757.000000,159,2.615000
1422188758.000000,160,2.638000
1422188762.000000,161,2.681000
1422188763.000000,160,2.668000
1422188769.000000,159,2.721000
